Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,124.990181,49.506322
Spiraea_hypericifolia_subsp._hypericifolia,116.086032,43.933411
Spiraea_hypericifolia_subsp._hypericifolia,123.726201,50.591842
Spiraea_hypericifolia_subsp._hypericifolia,105.694171,38.836215
Spiraea_hypericifolia_subsp._hypericifolia,121.95255,46.07981
Spiraea_hypericifolia_subsp._hypericifolia,112.641783,42.742892
Spiraea_hypericifolia_subsp._hypericifolia,114.950248,44.022995
Spiraea_hypericifolia_subsp._hypericifolia,117.608911,44.587882
Spiraea_hypericifolia_subsp._hypericifolia,101.666917,39.216186
Spiraea_hypericifolia_subsp._hypericifolia,114.720086,41.158557
Spiraea_hypericifolia_subsp._hypericifolia,117.545798,43.264989
Spiraea_hypericifolia_subsp._hypericifolia,112.635577,41.277462
Spiraea_hypericifolia_subsp._hypericifolia,111.706618,41.533462
Spiraea_hypericifolia_subsp._hypericifolia,114.600404,41.852368
Spiraea_hypericifolia_subsp._hypericifolia,114.588903,39.840843
Spiraea_hypericifolia_subsp._hypericifolia,99.615601,38.836932
Spiraea_hypericifolia_subsp._hypericifolia,102.897542,37.470882
Spiraea_hypericifolia_subsp._hypericifolia,118.66518,43.534414
Spiraea_hypericifolia_subsp._hypericifolia,128.009895,45.209586
Spiraea_hypericifolia_subsp._hypericifolia,119.006187,42.936529
Spiraea_hypericifolia_subsp._hypericifolia,113.667248,43.85988
Spiraea_hypericifolia_subsp._hypericifolia,116.82369,48.672101
Spiraea_hypericifolia_subsp._hypericifolia,122.744401,48.007412
Spiraea_hypericifolia_subsp._hypericifolia,117.764086,41.949404
Spiraea_hypericifolia_subsp._hypericifolia,107.14602,47.76947
Spiraea_hypericifolia_subsp._hypericifolia,105.878333,47.765
Spiraea_hypericifolia_subsp._hypericifolia,115.4716,50.7811
Spiraea_adiantoides,98.579167,28.04
Spiraea_alba,-79.117632,45.071753
Spiraea_alba,-78.595313,45.437267
Spiraea_alba,-75.805886,41.881942
Spiraea_alba,-85.451106,44.248063
Spiraea_alba,-69.548246,45.920757
Spiraea_alba,-72.416472,42.409969
Spiraea_alba,-72.43475,44.411865
Spiraea_alba,-76.254662,44.767025
Spiraea_alba,-71.332344,42.479767
Spiraea_alba,-72.847318,44.249099
Spiraea_alba,-70.553142,43.334452
Spiraea_alba,-75.311563,45.270207
Spiraea_alba,-72.010125,42.680072
Spiraea_alba,-74.265451,43.328919
Spiraea_alba,-81.368815,41.212239
Spiraea_alba,-70.374499,43.565834
